"FECHA DE MUESTREO,ESTACIONES,pH,SOLIDOS SUSPENDIDOS TOTALES (mg SS/l),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)"
"3/06/2018,ANTES RIO TIMBA,7.39,26.5,88.8,0.43"
"3/06/2018,PASO DE LA BALSA,7.4,53.3,69.4,0.48"
"3/06/2018,PASO DE LA BOLSA,7.57,100,69.7,0.47"
"3/06/2018,PUENTE HORMIGUERO,7.4,182,86.3,0.23"
"3/06/2018,ANTES INTERCEPTOR SUR,7.37,136,87.6,0.44"
"3/06/2018,JUANCHITO,7.43,743,93.8,0.6"
"3/06/2018,PASO DEL COMERCIO,7.53,255,93.4,0.58"
"3/06/2018,PUERTO ISAACS,7.48,218,98.3,0.59"
"3/06/2018,PASO DE LA TORRE,7.46,80,109,0.51"
"3/06/2018,VIJES,6.8,190,113,0.55"
"3/06/2018,YOTOCO,7.16,186,123,0.67"
"3/06/2018,MEDIACANOA,7,150,114,0.68"
"3/06/2018,RIOFRIO,6.9,192,124,0.8"
"3/06/2018,PUENTE GUAYABAL,7.13,181,145,0.87"
"3/06/2018,LA VICTORIA,7.03,106,141,1.01"
"3/06/2018,ANACARO,7.03,234,144,1.27"
"3/06/2018,PUENTE LA VIRGINIA,7.13,162,143,1.55"
"6/06/2018,ANTES SUAREZ,6.95,24,77.7,1.07"
"6/06/2018,ANTES RIO OVEJAS,7.06,63,80.2,0.581"
"6/06/2018,ANTES RIO TIMBA,7.48,28,73.7,0.439"
"6/06/2018,PASO DE LA BALSA,7.53,106,77,0.47"
"6/06/2018,PASO DE LA BOLSA,7.45,143,82.8,0.5"
"6/06/2018,PUENTE HORMIGUERO,7.45,310,102,0.519"
"6/06/2018,ANTES INTERCEPTOR SUR,7.36,194,109,1.01"
"6/06/2018,JUANCHITO,7.31,152,106,0.659"
"6/06/2018,PASO DEL COMERCIO,7.25,136,124,0.0519"
"6/06/2018,PUERTO ISAACS,7.24,192,135,0.781"
"6/06/2018,PASO DE LA TORRE,7.22,203,150,0.636"
"6/06/2018,VIJES,7.29,178,145,0.311"
"6/06/2018,YOTOCO,7.37,174,167,0.454"
"6/06/2018,MEDIACANOA,7.35,100,172,0.38"
"6/06/2018,RIOFRIO,7.33,,172,0.529"
"6/06/2018,PUENTE GUAYABAL,7.3,80,168,0.774"
"6/06/2018,LA VICTORIA,7.26,170,174,0.884"
"6/06/2018,ANACARO,7.3,263,176,1.05"
"6/06/2018,PUENTE LA VIRGINIA,7.27,364,163,0.878"
"14/08/2018,ANTES SUAREZ,6.61,11.6,89.1,0.496"
"14/08/2018,ANTES RIO OVEJAS,7.23,11.6,91.1,0.459"
"14/08/2018,ANTES RIO TIMBA,7.21,31,87.4,0.531"
"14/08/2018,PASO DE LA BALSA,7.9,21,88.9,0.514"
"14/08/2018,PASO DE LA BOLSA,7.49,42,88.2,0.435"
"14/08/2018,PUENTE HORMIGUERO,7.81,41,101,0.401"
"14/08/2018,ANTES INTERCEPTOR SUR,7.38,94,133,0.431"
"14/08/2018,JUANCHITO,7.51,33,122,0.471"
"14/08/2018,PASO DEL COMERCIO,7.38,29,140,0.413"
"14/08/2018,PUERTO ISAACS,7.36,29,152,0.34"
"14/08/2018,PASO DE LA TORRE,7.36,13,164,0.406"
"14/08/2018,VIJES,7.21,27,172,0.531"
"14/08/2018,YOTOCO,7.38,19,200,0.577"
"14/08/2018,MEDIACANOA,7.3,31,174,0.474"
"14/08/2018,RIOFRIO,7.33,59,181,0.573"
"14/08/2018,PUENTE GUAYABAL,7.46,62,189,1.02"
"14/08/2018,LA VICTORIA,7.42,81,190,1.05"
"14/08/2018,ANACARO,7.43,93,187,1.41"
"14/08/2018,PUENTE LA VIRGINIA,7.41,86,191,1.51"
"19/03/2019,PASO DE LA BALSA,7.83,345,70.3,0.727"
"19/03/2019,PASO DE LA BOLSA,7.88,80,92.5,0.178"
"19/03/2019,PUENTE HORMIGUERO,6.21,490,101,0.198"
"19/03/2019,ANTES INTERCEPTOR SUR,6.39,106,131,0.162"
"19/03/2019,JUANCHITO,6.16,64,122,0.143"
"19/03/2019,PASO DEL COMERCIO,6.58,68,132,0.132"
"19/03/2019,PUERTO ISAACS,6.49,130,142,0.143"
"19/03/2019,PASO DE LA TORRE,6.33,80,136,0.167"
"19/03/2019,VIJES,6.48,35,157,0.19"
"19/03/2019,YOTOCO,6.67,46,176,0.184"
"19/03/2019,MEDIACANOA,6.43,156,151,0.19"
"19/03/2019,RIOFRIO,7.47,204,152,1.54"
"19/03/2019,PUENTE GUAYABAL,7.29,207,152,1.04"
"19/03/2019,LA VICTORIA,7.35,272,149,1.33"
"19/03/2019,ANACARO,7.35,560,155,1.52"
